,comments,condition,conditiondate,facilityid,gis entry stage,location,name,owner,project no,sensitivity,status,warrantydate,water body type,yr
comments,1.0,0.2777777777777778,0.3076923076923077,0.09999999999999998,0.19999999999999996,0.125,0.1875,0.25,0.19999999999999996,0.09090909090909094,0.0625,0.16666666666666663,0.06666666666666665,0.0
description,0.09090909090909094,0.36363636363636365,0.15384615384615385,0.18181818181818177,0.19999999999999996,0.40909090909090906,0.0,0.045454545454545414,0.09090909090909094,0.2272727272727273,0.18181818181818177,0.08333333333333337,0.1333333333333333,0.045454545454545414
facilityid,0.09999999999999998,0.19999999999999996,0.15384615384615385,1.0,0.09999999999999998,0.19999999999999996,0.09999999999999998,0.0,0.09999999999999998,0.18181818181818177,0.09999999999999998,0.25,0.19999999999999996,0.09999999999999998
house no,0.25,0.16666666666666663,0.15384615384615385,0.0,0.09999999999999998,0.125,0.0625,0.25,0.35,0.09090909090909094,0.0,0.0,0.09999999999999998,0.0
location,0.125,0.5,0.34615384615384615,0.19999999999999996,0.06666666666666665,1.0,0.125,0.125,0.19999999999999996,0.18181818181818177,0.25,0.125,0.1333333333333333,0.0
maintenance responsibility,0.11538461538461542,0.17307692307692313,0.15384615384615385,0.13461538461538458,0.1923076923076923,0.09615384615384615,0.09615384615384615,0.05769230769230771,0.11538461538461542,0.28846153846153844,0.07692307692307687,0.15384615384615385,0.17307692307692313,0.019230769230769273
map page,0.0,0.0,0.11538461538461542,0.09999999999999998,0.23333333333333328,0.0,0.1875,0.0,0.0,0.0,0.0,0.20833333333333337,0.16666666666666663,0.0
operational responsibility,0.11538461538461542,0.15384615384615385,0.1923076923076923,0.15384615384615385,0.11538461538461542,0.17307692307692313,0.09615384615384615,0.11538461538461542,0.15384615384615385,0.28846153846153844,0.09615384615384615,0.15384615384615385,0.15384615384615385,0.019230769230769273
park name,0.11111111111111116,0.0,0.15384615384615385,0.09999999999999998,0.23333333333333328,0.0,0.38888888888888884,0.11111111111111116,0.15000000000000002,0.0,0.0,0.33333333333333337,0.19999999999999996,0.05555555555555558
park ownership,0.1428571428571429,0.1071428571428571,0.0,0.1428571428571429,0.09999999999999998,0.0714285714285714,0.1071428571428571,0.3214285714285714,0.25,0.0,0.0357142857142857,0.2142857142857143,0.1333333333333333,0.0357142857142857
road code,0.11111111111111116,0.2222222222222222,0.2692307692307693,0.0,0.09999999999999998,0.2222222222222222,0.16666666666666663,0.11111111111111116,0.19999999999999996,0.0,0.11111111111111116,0.20833333333333337,0.19999999999999996,0.0
service classification,0.09090909090909094,0.2272727272727273,0.18181818181818177,0.18181818181818177,0.13636363636363635,0.2954545454545454,0.045454545454545414,0.045454545454545414,0.13636363636363635,0.2954545454545454,0.15909090909090906,0.18181818181818177,0.09090909090909094,0.022727272727272707
status,0.0625,0.11111111111111116,0.15384615384615385,0.09999999999999998,0.2666666666666667,0.25,0.16666666666666663,0.0,0.09999999999999998,0.2272727272727273,1.0,0.16666666666666663,0.19999999999999996,0.0
status date,0.09090909090909094,0.0,0.34615384615384615,0.09090909090909094,0.30000000000000004,0.09090909090909094,0.13636363636363635,0.0,0.0,0.2272727272727273,0.5454545454545454,0.29166666666666663,0.23333333333333328,0.0
work assignment,0.23333333333333328,0.16666666666666663,0.19999999999999996,0.1333333333333333,0.0,0.23333333333333328,0.1333333333333333,0.16666666666666663,0.1333333333333333,0.1333333333333333,0.06666666666666665,0.2666666666666667,0.09999999999999998,0.033333333333333326
